Country,Education_ratio,Hospital_Beds,Total_ATMs,Total_Police,Box_office_collection,Children_out_of_primary_school,GDP
UK,3.78,1.38,0.10,0.22,7.54,0.03,28270000.00
US,6.62,1.44,0.14,2.45,17.55,0.02,214280000.00
Canada,5.60,1.35,0.17,0.75,2.08,0.07,17360000.00
Germany ,3.22,4.14,0.06,1.52,1.20,0.02,38460000.00
France,4.10,3.14,0.08,1.36,3.08,0.04,27160000.00
India,2.72,0.07,0.21,0.19,0.05,0.20,28750000.00
Southkorea,3.90,1.22,0.14,0.22,1.56,0.12,16419999.00
China,1.96,0.42,0.09,0.14,0.20,0.95,14340000.00
Brazil,3.85,0.02,0.10,0.21,0.06,0.03,18400000.00
Russia,2.85,0.01,0.16,0.62,0.14,0.01,17000000.00
Japan,2.30,1.34,0.12,0.23,1.04,0.08,50820000.00
